id	filename	md5	size	state
76bf1f8c-bc30-4530-9767-508e34c04fa8	6929718099_R03C02_Grn.idat	88803cac27c34d25a1c8a74dbe90b073	8095277	live
a6c9d210-2640-4c40-a8e1-e71c6176d546	6285625068_R01C02_Grn.idat	1d8989f8fc71ec7b54fb67561efcfaf6	8095283	live
43eac32b-3f46-4e30-806c-e1831a0ab5ce	9934987126_R05C01_Grn.idat	3eed6cbbad26c3258b63f79a3ba44834	8095280	live
6f91e663-1485-4195-9b8a-afd903dea4fc	9422492030_R02C02_Grn.idat	cef614a736b21587f15afa003e5beea3	8095328	live
cb082340-6146-42fa-8396-79b102208a7f	6285609045_R05C01_Red.idat	3e2b628156ce93bb443736bd08e61e1e	8095237	live
837a463d-6514-4123-815d-974e4a90f591	6929718079_R03C01_Red.idat	e07774bcfc7a2f9af72b3fe23f60e2dd	8095267	live
eb818b9d-fd3f-4351-8fc3-c2e74cf3fcba	7796806006_R03C02_Grn.idat	e1e4b1dbd037273dee69659710256554	8095264	live
b058e392-d915-4cb6-adfa-24718c30b5da	6229009053_R01C01_Red.idat	a1cb5a58c157c20f0917b3ded43c6774	8095219	live
8f5f4982-1c0a-450a-8953-e2db72513e69	6285650057_R04C01_Red.idat	2a284d8598cef044dd815fc0274bc8e7	8095258	live
ac869fa4-d2b7-4271-aeff-b724df3f0d05	6055424040_R06C01_Grn.idat	1a03f0fadcdc72098830f7515022c6d0	8091452	live
32bc2256-ff68-4fc4-9346-c6898f140bee	8795194070_R01C01_Red.idat	ecc8fda7df96a4e7ca949073d8451191	8095264	live
69b2902d-bf06-4872-a1ae-8845e673203c	6264509087_R06C01_Grn.idat	503dcb39c37bb156f4f7e5b499d8d3e8	8095228	live
04c51a43-c932-4029-b602-9a5a99456d81	6264509127_R06C01_Grn.idat	717ba11c02699c24b92b54a5adaa26c2	8095228	live
3096b8e7-bfb3-45fe-a741-ca7e43f51900	7786923021_R06C02_Grn.idat	52dd9865c3d9d11915b28f79d97ab8f7	8095271	live
89f07d3b-110e-4aeb-98d4-a15c162e786b	9828653003_R01C01_Grn.idat	22fc7d729377b6f56e207b59fe8f7c04	8095280	live
3a3f8d3d-7808-423d-899f-3966ab7d4625	3999510104_R04C02_Grn.idat	4f3c46c47ef4e1c2b86b795aab3cb70e	8095272	live
be394411-a10f-4c80-a271-b81b3e8eaeea	9721366062_R05C02_Grn.idat	72148e5171bf1400ef37fb929a7454d5	8095254	live
2c2277c7-4f47-4da6-9348-5b1cbc209cb2	9482801003_R04C02_Red.idat	84cf0bd7c907215b98cabfce55c64653	8095299	live
63a1eb81-6a1a-4893-9ef9-7d83befdb389	3999492120_R03C02_Grn.idat	06fc4bc77277ce198c42a716bf69c02f	8095284	live
7652e68e-8977-4d6d-af10-f8c4ef7adc1f	6285633025_R02C02_Red.idat	f79ea5789d1c7052ae5716dc5dd944e9	8095207	live
c5b4242f-c436-443f-a8cd-be41c172aac2	6042324049_R01C02_Grn.idat	6f971b20629b7d6a60079e6d42154ebe	8095293	live
a4de7c21-1adf-4d8b-87d2-a1f5bd8f9806	6042308163_R02C01_Red.idat	a0f11618443073c49b66390852a1ac9e	8091452	live
f99ca035-f10e-46dc-bdd9-e09c9c03b8a8	9992576118_R02C02_Red.idat	aa9f529f522930e93c74a6f5f87f9968	8095242	submitted
fe5c5d55-8259-4a57-bd79-a06cf1b09100	6285625011_R01C02_Grn.idat	c327fee855138de4f27a56d67a32f81e	8095260	live
b2afe00a-6d7e-4d05-9f8a-04bff1455f1d	6042316079_R06C02_Grn.idat	062d201ddb73c53aef6b81ea6af61b35	8091452	live
46842c4f-eb32-49ad-b83b-6a5d1c0c9463	6042316106_R02C02_Red.idat	cd044dbfba9e27230bb2bf06f5358e38	8095285	live
4ff94776-9cab-466a-bd0a-c4fbe2654fd8	6929718043_R04C01_Red.idat	082413253dee42fb2e8a029f647a178e	8095256	live
7582286f-055b-4947-a131-5cb43cd5f469	6285609111_R05C02_Grn.idat	707c969ada19d86f2179242597a2b10a	8095244	live
76f72e1f-641f-43c3-900e-9a0c6e4dcd44	6042324070_R02C01_Grn.idat	c668bbafe66cee2bba06b1a1b2fa9a60	8095308	live
cd0b8c99-8051-41bb-bfef-943654201bec	9285451132_R01C02_Grn.idat	6a6ce40dc56c544bd51a35a529d3910a	8095320	live
d3d8c8d7-0356-4530-87f5-fcd9adea60cf	6285633030_R02C01_Grn.idat	54e32e624c4add8a7066cee4a91f5b65	8095212	live
0b802a74-edb7-43d2-bd5b-57abb545c79c	9934398130_R03C01_Grn.idat	3caeca43d49cdaa0947bb7740a543e9a	8095289	live
fc8e1704-36a9-4c47-864c-4e86a7e1d541	6042308138_R06C01_Red.idat	dd2795739c076859c8412ac92539048a	8095236	live
6ba7da11-0819-41ae-a4de-9c73907f20b1	6285633036_R05C01_Grn.idat	82c0dafaf98783c16e199845f729865e	8095280	live
f1d6f30b-e9b5-4476-bb01-5aeca3a4e2c8	9482801005_R01C02_Grn.idat	4677c0d88ffd2c6090880fcca0971e95	8095277	live
2fd584cf-adf9-44aa-a5b0-a496a2e60a34	3999547163_R06C01_Grn.idat	51c1343758ff94d11be2db0db3a6195a	8095334	live
20cdb5a2-c3a4-4652-902c-4fe5e5e5096c	6929742015_R04C01_Grn.idat	e8904a84c17a85ee335d91166433a00b	8095241	live
829dc11e-c5b0-4de9-bd53-285ed2f437fa	6929671003_R03C01_Red.idat	7518a4f1218b1c644d646e59bf7d9ced	8095235	live
28aa772c-4827-4bb8-b716-0240f2204b97	7310440061_R01C01_Red.idat	3430482ee96c127e86c2454ccecdd23f	8095240	live
c7b6333f-6406-415c-89b4-2f1c85013425	6005486013_R06C01_Red.idat	c42cd85e5629abd254d5c8d0b3d101a9	8091485	live
4f39066f-e6ec-4c68-abaa-a981335e9ac4	6264488083_R06C01_Red.idat	050193c2e0301291903aa0d24252fc57	8095260	live
806e5058-99d7-4721-ab03-29eb370964e6	9934987148_R05C02_Grn.idat	e1b4d0391724034ea7933528b52e9ac0	8095272	live
7382c3f5-f732-41b1-807d-5401e5c72ae7	6929718008_R02C02_Grn.idat	fd005b96af5fa53d9cf4e44c5e9d5458	8095268	live
0aed6f60-7aa2-457f-9603-6855542d292b	9721366013_R06C02_Red.idat	daa47976b7f1ee3f7ea781d0172758ee	8095257	live
8dee10d6-87f1-483a-84f7-8d066d98d7cc	6042316137_R02C02_Grn.idat	ba20b67d551ac72ffa68dd859997ea82	8095283	live
0109e64e-be1c-49eb-ad13-8ec87f674bae	9934625156_R02C02_Grn.idat	55bd4d206260dade3367b619188d5b26	8095278	live
18aca041-3cc8-4bd6-ae4f-e10a48e41329	9721366044_R03C01_Grn.idat	d93c93d3a1bdffe213cc65efdee1f4a2	8095248	live
2bfbaa7d-7ce8-457d-9ac6-ac8f4df6ec5c	6285650094_R03C02_Red.idat	1a0024f0b2f597e43960d61d3e1b9821	8095260	live
74acbd61-2a58-459b-a3a5-0561d64befd2	7796806104_R03C01_Red.idat	fccef784a2664cf20c50dff7b8e32600	8095268	live
18c452a7-e38f-4cc6-9c70-88e8fa31d420	7786923092_R03C02_Red.idat	9ee09c01651e648507f8359ed62a7735	8095271	live
f6bd84a8-685e-45f3-a024-c068d8d76d1d	6929718099_R03C01_Red.idat	3619c4a60a87c07abeb9ec0764422592	8095288	live
a1701810-8a7b-4071-b35a-d97bddf2a1ba	6005486011_R04C02_Grn.idat	ee19882f95f08b0d14f72c9824edd069	8091485	live
5f55c511-dd4a-483f-8586-3b31d0d95726	6929671121_R04C01_Grn.idat	6f76511ce0225fbdb1f6e3c6fc2871a4	8095233	live
7d7aa3e1-e6b3-4908-b7e2-7a4fc406cec0	6164655051_R04C02_Grn.idat	7200b503b0c762d78b1dcbd4195a417f	8095196	live
35325b8e-70d4-43ac-865f-c12b405dcd41	7796806093_R03C02_Red.idat	9ce33a9f85e2dac911cf91fe9566f585	8095232	live
5d504278-6468-417a-93a7-7b4e41b5e1d9	9422492089_R06C02_Red.idat	76f6b18ff46c9141e1c184018d2753f9	8095338	live
3c704a1d-e6c6-453b-a108-f377ad58d3d3	6004791006_R04C01_Red.idat	4787d7150ecfdc54c0d4e91fff17e5c7	8091485	live
00f2a625-5850-4ef8-9e02-cd3f2a915c6f	6929671134_R05C02_Grn.idat	59c550bc26dfdfaa88e060dc3c8d438b	8095253	live
d4c841eb-ddfd-40a9-8234-c3d4c8f6d4d9	9934625029_R05C01_Red.idat	4ba309c9929352a53513b9d9ed594c56	8095280	live
cfb5a6da-e4ca-4896-9952-466feabcda33	6285650090_R03C01_Grn.idat	5c296e189395abae8bfbd5cdcc645d1d	8095292	live
4e7d9a27-d0c7-4a0f-bf41-f382757ad903	9701417179_R06C02_Grn.idat	7907bd7d3dd3e30a871e36c30ef5473d	8095304	live
7cbda634-b10a-49ed-9455-3ec7d1c4cafa	3999492075_R05C01_Red.idat	a7af050947b463de43126bebdb4afdf6	8095274	live
7dd43683-7049-4744-8338-c57c7d8093f3	9701417105_R03C02_Grn.idat	38d860bc8cbeaf153f12414025bdb05e	8095309	live
8c9632a2-c3f8-4eb2-8ff3-fb24c292ebed	9828653011_R05C01_Red.idat	889764f6e16d8e0078b8ee037ba57d31	8095264	live
841c512e-5aa6-4502-ae62-55c971b9add9	5775041084_R06C01_Grn.idat	523f011976e226b6908c459e16db606a	8091452	live
8a49199a-0f77-455f-abf5-9e0032ba2eb1	6929793021_R06C01_Grn.idat	15dab7daf5185ccd4c7b295624b94feb	8095244	live
c938d1ed-e119-4ddb-b435-55f4923cc515	9422492114_R03C01_Grn.idat	ff0b8a06e570f0675f76be4de3f50a88	8095344	live
981d7bc6-be6c-4239-aa15-1714e558ddde	6042316009_R04C01_Grn.idat	a44a66e2c49bcb81a7193aad9ae74787	8091452	live
525922e1-1060-4050-a1b3-cd291c20600e	9283265014_R02C02_Grn.idat	3fe835683db6fafa0381692e19a0a274	8095279	live
3c39d2ba-e59a-46b8-ba59-d220d368ce4d	9305216015_R06C01_Red.idat	971512eed8fd77d0da617bac146f1659	8095275	live
2630c12e-869f-4df9-b90b-2b7b8f31788e	6042316093_R01C01_Grn.idat	6ca2e8e8ec91e21ff49a77c0ef2a1cca	8091452	live
8cbe04f1-5933-468c-8bc8-39f2e3f03884	6929671023_R05C02_Red.idat	a0cbbf99d56980e4235a50a4fec6120e	8095244	live
b01dd0d0-ef5b-4fa3-90f6-e2c67296226f	6285650095_R04C02_Grn.idat	01be374509a224415b868b84179135b8	8095284	live
51920d6c-0639-49b2-9c89-4568ea8ecae4	9630789197_R01C01_Grn.idat	dd2f11b62ccef132d0ab29945bb23538	8095305	live
b912f000-aed7-4090-873d-13d08b54fa3e	6929671154_R04C02_Grn.idat	63c7c333be6bbdf6fd9b07f3027c4df1	8095250	live
fa8bf806-a2d0-4db9-8d99-e8b621b4b874	7796806093_R04C02_Red.idat	65dcd1c1ba25c39977b69278e8bb1176	8095233	live
d81f8530-053e-4f51-9ab9-83e2c3722d93	9422492089_R02C01_Red.idat	894b65e3d98352e973eabf117e32a9d0	8095344	live
467cae65-b653-4cdc-b906-ff250cf857f2	7786923090_R05C02_Red.idat	69ee4848ef2edacab3a370c18156a624	8095272	live
3dc14b68-246c-4629-be2e-82eb14c830cd	9422492093_R06C02_Red.idat	588517ada8eb0d5299f131eae9b2a5f6	8095290	live
f856cf50-fd3e-4876-9884-41dee36f5ccd	9297949025_R04C01_Grn.idat	5b502a57fde7110e7305b61f3bd8de3a	8095268	submitted
a7eef66b-0ee2-498c-8625-8cf611ef9439	8795194066_R05C01_Grn.idat	59248342868f7ff861f5d75eed84cbfd	8095256	live
